,Input_0,Input_1,Input_2,Input_3,Input_4,Input_5,Weight_0_0,Weight_0_1,Weight_0_2,Weight_0_3,Weight_1_0,Weight_1_1,Weight_1_2,Weight_1_3,Weight_2_0,Weight_2_1,Weight_2_2,Weight_2_3,Weight_3_0,Weight_3_1,Weight_3_2,Weight_3_3,Delta
run_Delta: 160.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031157030082578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
run_Delta: 160.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031157030082578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0
